[MAIN] User Init Started...
[IMU] Starting Init...
[IMU] Init Complete
[HARDWARE] Starting FreeRTOS TCP-IP Stack
[HARDWARE] FreeRTOS TCP-IP Stack Init Complete
[MAIN] User Init Completed!
[MAIN] Starting 10ms task
prvIPTask started
[MAC] Starting Init...
[MAC] Got hardware revision 6
[MAC] Init Complete!
[HARDWARE] Network UP
[MAIN] Starting Server task
MALLOC 0x8003a5d : 0x200038e0 : 16 
MALLOC 0x8018781 : 0x200038f0 : 40 
Starting Mongoose v7.6MALLOC 0x8003955 : 0x20003918 : 416 
MALLOC 0x8018781 : 0x20003ab8 : 40 
Socket 5800 -> 0x0ip:0 State eCLOSED->eTCP_LISTEN
MALLOC 0x800ebb5 : 0x20003ae0 : 152 
MALLOC 0x8003955 : 0x20003b78 : 88 
MALLOC 0x8018781 : 0x20003bd0 : 40 
[MDNS] Successful socket creation & bind
[MDNS] successfully set up for network_imu.local
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 112 
FREE 0x80010bf : 0x20003bf8 : 112 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003c70 : 96 
MALLOC 0x8001177 : 0x20003c70 : 136 
MALLOC 0x8001177 : 0x20003cf8 : 96 
FREE 0x80010bf : 0x20003cf8 : 96 
FREE 0x80010bf : 0x20003c70 : 136 
MALLOC 0x8001177 : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003c70 : 96 
MALLOC 0x8001177 : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003c70 : 96 
MALLOC 0x8001177 : 0x20003c70 : 200 
MALLOC 0x8001177 : 0x20003d38 : 96 
FREE 0x80010bf : 0x20003d38 : 96 
FREE 0x80010bf : 0x20003c70 : 200 
MALLOC 0x8001177 : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003c70 : 96 
FREE 0x80010bf : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003c70 : 136 
FREE 0x80010bf : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003c70 : 136 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 96 
FREE 0x80010bf : 0x20003bf8 : 96 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 208 
FREE 0x80010bf : 0x20003bf8 : 208 
MALLOC 0x8001177 : 0x20003bf8 : 1200 
FREE 0x80010bf : 0x20003bf8 : 1200 
MALLOC 0x8001177 : 0x20003bf8 : 120 
MALLOC 0x8001177 : 0x20003c70 : 136 
FREE 0x80010bf : 0x20003bf8 : 120 
FREE 0x80010bf : 0x20003c70 : 136 
